Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
El Avioncito,El Avioncito,Giblack,10/28/2021,ESA011561085,"3,447",23.3,"1,15,69,095","3,147","4,19,656",41,"13,49,29,794","7,51,052","25,17,500","38,20,42,979","5,21,07,40,180","33,30,686",4,"1,816",,3,"53,234",,"31,084",610,,"2,26,882",,0
Handle On You,Handle On You,Parker McCollum,08-05-2022,USUM72211050,"3,439",23.3,"10,38,58,433","17,543","48,90,850",63,"2,35,71,548","1,27,913","5,710","21,80,810","3,29,59,012","3,49,600",18,"2,03,279",31,2,"87,391",16,"3,58,76,540","3,647",,"4,81,957",,0
"Non, je ne regrette rien",Edith Piaf Essentials : The Greatest Hits of the Most Popular French Singer,ýýdith Piaf,05-07-2024,FR6F32336520,"3,433",23.3,"16,87,50,749",1,1,19,,,,,,,,,,,,,,,,,,0
Montagem - Pr Funk,Montagem - Pr Funk - Single,BARATO NATION,12/27/2023,IEWNY2348674,"3,867",23.2,"33,29,36,854",6,22,,,,,,,,,,,,,,,,,,,0
Tunnel Vision,Tunnel Vision,Kodak Black,2/17/2017,USAT21700379,"3,477",23.2,"65,48,28,389","1,39,540","2,09,19,688",68,"9,74,50,066","8,84,775","1,22,425","1,04,13,135","8,66,49,600","9,49,109",75,"7,257",15,19,"55,211",9,"31,23,21,561","2,09,828",,"30,10,996",,1
White Tee (with NO1-NOAH),Life On Earth - EP,Summer Walker,07-10-2020,USUM72013570,"3,474",23.2,"27,70,94,824","75,966","1,61,82,804",63,"11,88,24,965","15,13,533","2,99,390","7,18,31,644","53,76,18,525","8,64,73,375",18,868,36,10,"50,742",,"81,38,349","14,923","1,33,93,881","34,74,234",,1
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,TaitosmitH,3/26/2024,THG012400089,"3,462",23.2,"27,59,335",248,"1,77,260",,"4,07,96,081","2,68,043",,,,,4,55,,,,,,,,"17,660",,0
I'm Not The Only One,I'm Not The Only One,Sam Smith,09-11-2014,GBUM71404663,"3,458",23.2,"9,30,40,974","10,520","17,11,940",16,"1,66,38,36,563","67,94,854",,,,"1,46,71,34,947",4,"82,591",,6,434,,"6,86,84,032","22,433",,,,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýý,10-05-2023,THSOH2308099,"3,455",23.2,"3,872",5,3,,,,"9,17,800","44,13,567","13,55,42,729",,,,,,,,,,,146,,0
La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,La Llevo Al Cielo (Ft. ï¿½ï¿½engo F,Chris Jedi,5/20/2022,USUM72201829,"3,471",23.2,"41,10,06,233","63,319","2,00,06,639",67,"61,86,421","60,126",,,,,29,"19,221",60,12,"19,78,603",21,"1,80,18,765","2,734",,"10,29,664",,1
Too Easy,Too Easy,Gunna,9/24/2021,QMCE32100757,"3,452",23.2,"13,30,39,977","69,577","78,03,085",54,"2,18,42,375","2,50,732","33,573","2,91,71,201","24,12,02,185","2,78,78,588",17,"19,365",401,3,"7,731",9,"1,54,78,634","3,139","1,39,14,231","2,16,542",,1
Walking On A Dream,Walking On A Dream,Empire Of The Sun,01-01-2008,AUEI10800039,"3,476",23.2,"92,36,37,058","2,48,136","7,25,61,268",74,"32,64,84,288","25,13,872","7,29,463","15,85,41,861","1,34,61,52,082","3,17,66,857",180,"62,766",111,88,"4,80,807",62,"36,69,81,662","2,29,532",,"95,54,869",,0
Take Two,Take Two,BTS,06-09-2023,USA2P2323050,"3,461",23.2,"25,92,88,333","9,472","1,74,78,821",69,"4,09,48,018","23,24,228","4,32,500","9,30,22,348","50,37,76,050",,36,"10,787",4,9,"91,422",18,"14,16,625",486,,"3,20,367",,0
Water (Remix),Water (Remix) - Single,Tyla,11/17/2023,USSM12308549,"3,473",23.2,"5,15,88,608","14,616","70,31,379",,,,"28,200","13,66,281","1,88,43,138",,28,"23,379",,11,"41,131",12,"28,32,393","1,084","3,46,063","2,74,717",,0
You Know You Like It,You Know You Like It,DJ Snake,10/14/2014,USUM71414293,"3,465",23.2,"50,60,83,686","88,997","1,95,91,325",65,"19,12,57,884","19,17,299","22,248","80,81,963","5,38,59,932","1,77,49,865",105,"20,173",45,38,"1,96,761",16,"35,97,11,385","1,26,499","5,19,94,371","1,40,34,296",,0
Bom Diggy,Bom Diggy - Single,Zack Knight,8/24/2017,QM6P41715585,"3,464",23.2,"5,53,62,558","9,861","25,98,056",46,"1,29,28,44,409","56,95,565","75,620","33,54,781","4,59,39,694","15,86,38,266",3,495,,1,861,,,,,"4,80,815",,0
Mati-Matian,Mati-Matian - Single,Mahalini,3/29/2024,QZZNV2400046,"3,472",23.2,"5,25,10,463",992,"96,07,115",76,"2,73,29,009","2,00,501",,,,,9,746,,,,,,,,"12,270",,0
Live Another Day,Phonkageddon,Kordhell,8/27/2021,QZMEM2171029,"3,470",23.2,"28,31,08,875","69,176","2,02,46,527",66,"14,74,47,678","19,16,013","1,15,000","9,30,38,797","1,06,78,56,594","56,188",14,1,,3,"91,280",1,"28,93,729","1,198",,"13,65,064",,1
Ana Ghaltan,Cigara,Bahaa Sultan,12/27/2021,EGA092200106,"3,468",23.2,"83,16,794","1,342","2,17,990",47,,,173,"15,714","3,07,818",,,631,,1,"2,094",,,,"4,68,25,425","8,447",,0
Sexo Virtual,VICE VERSA,Rauw Alejandro,6/25/2021,USSD12100294,"3,460",23.2,"29,33,61,823","61,096","1,00,57,845",66,"14,18,62,016","10,51,171","6,78,500","15,67,41,590","1,33,60,43,098","83,83,884",58,"1,054",,10,"5,82,123",2,"74,67,616","1,862",,"7,17,742",,1
"Nï¿½ï¿½o, Nï¿½",Piseiro Sofrï¿½ï¿½,Mari Fernandez,4/29/2021,BCFWR2100002,"3,469",23.2,"15,84,04,124","19,033","54,13,126",51,"15,62,98,379","10,25,633","24,18,608","8,92,18,584","92,71,82,106","21,86,20,029",32,"5,312",,27,"1,34,250",4,"1,380",4,"27,099",,,0
ýý ýýýýýýýý ýýýýýýýýýý,ýý ýýýýýýýý ýýýýýýýýýý,Moreart,12-04-2020,FR26V2072992,"3,475",23.2,"6,03,58,583","32,582","17,88,403",50,"4,33,71,351","7,49,082","30,01,121","65,01,59,397","8,68,01,32,146","9,94,101",4,340,,,,3,"22,87,886","1,511",,"34,13,948",,1
Chasin' You,If I Know Me,Morgan Wallen,4/27/2018,QZ22S1800006,"3,466",23.2,"60,99,84,789","66,397","1,45,89,013",74,"25,57,80,709","11,01,498","91,600","1,85,02,723","14,24,12,314","40,04,99,073",43,"1,62,999",8,4,"3,383",12,"23,14,56,245","81,165",,"14,94,580",,0
Ali Cabbar,Parti ï¿½ï¿½,Emir Can ï¿½ï¿½ï,06-02-2023,TRAUR2300024,"3,467",23.2,"6,34,42,980","10,414","17,65,706",58,"12,72,52,829","5,52,569","84,400","31,71,710","10,86,71,025","47,88,783",7,"4,502",,,,,,,,"2,24,773",,0
Clouds,Clouds - Single,BUNT.,01-12-2023,QZTBB2202743,"3,459",23.2,"14,99,86,283","48,038","5,02,98,372",63,"95,00,978","1,57,127",369,"6,86,653","1,31,95,696","54,69,007",31,"11,060",185,40,"6,58,774",11,"22,77,841",391,,"6,68,816",,0
Let Your Boys Be Country,Let Your Boys Be Country,Jason Aldean,8/25/2023,QMRSZ2301462,"3,456",23.2,"2,14,85,335","4,032","17,27,967",1,"58,78,965","68,296","7,812","7,86,980","98,58,141","15,13,80,225",9,"85,293",8,,,11,"2,88,59,182","1,470","2,42,451","92,321",,0
Spin You Around (1/24),Spin You Around (1/24),Morgan Wallen,1/26/2024,USUG12400786,"3,453",23.2,"7,75,64,567","7,109","69,08,240",,,,,,,,23,"4,805",,8,"16,66,518",15,"1,89,34,813","5,191","1,56,552","1,15,609",,0
Solo Me Dejaste,Solo Me Dejaste,Grupo Marca Registrada,07-08-2022,USDXS2202170,"3,454",23.2,"17,53,74,235","19,506","81,47,122",66,"23,62,20,298","12,51,377","32,800","1,80,78,777","14,64,35,027",,4,104,,,,,"1,27,50,592","2,203",,"4,60,868",,0
Like I'm Gonna Lose You (feat. John Legend),Title (Deluxe),Meghan Trainor,01-09-2015,USSM11408374,"3,457",23.2,"1,06,02,55,231","88,246","4,53,30,466",71,"95,00,74,212","53,31,921","6,39,780","1,99,39,783","19,63,04,893","20,04,62,207",117,"54,682",32,183,"2,24,787",23,,,,"84,60,234",,0
"Don't Give Up On Me - (From ""Five Feet Apart"")","Don't Give Up On Me (From ""Five Feet Apart"")",Andy Grammer,2/13/2019,QMRSZ1802908,"3,463",23.2,"50,90,11,250","72,182","97,00,882",67,"22,07,73,540","22,41,242","1,95,726","9,43,97,647","68,55,43,612","4,04,01,043",31,"9,535",,2,"16,182",1,"12,74,04,246","79,212","1,22,71,237","33,77,256",,0
Jingle Bell Rock,"Essential Classics, Vol. 141: Bobby Helms",Bobby Helms,11-03-2023,ES31E2304202,"3,478",23.1,"96,43,57,785",2,"21,523",,,,,,,,,,,,,,,,,,,0
Talk Dirty (feat. 2 Chainz),VTM Kzoom Hits Best Of 2013,Jason Derulo,01-01-2013,USWB11302648,"3,489",23.1,"71,86,34,962","1,16,033","3,13,80,421",65,"8,86,51,556","8,72,188","2,20,691","6,36,62,766","42,92,72,415","3,00,42,463",64,"49,011",625,42,"1,60,808",11,"52,43,55,500","7,00,893",,"1,46,96,611",,1
Nail Tech,Nail Tech,Jack Harlow,2/18/2022,USAT22200223,"3,497",23.1,"22,43,76,030","65,837","1,60,10,323",56,"6,75,24,036","8,80,646","28,152","1,54,85,348","20,55,72,867","49,17,41,705",28,"28,104",103,17,"45,115",9,"1,09,75,482","3,861",,"5,81,658",,1
Lahore,Kultural Inkursions,Guru Randhawa,7/27/2018,TCADS1892866,"3,496",23.1,"77,999",96,"7,682",,"1,17,49,83,850","68,04,449",,433,"6,457","16,65,48,749",,,,,,,,,,,,0
The Summoning,The Summoning - Single,Sleep Token,01-06-2023,GBUM72200352,"3,484",23.1,"13,59,76,140","41,454","43,35,379",69,"3,79,52,419","4,65,940","3,074","13,44,946","1,47,85,534","68,52,259",22,"3,782",3,1,"1,382",2,"29,98,363","3,325","8,61,468","3,90,413",,0
Feel It Still,Woodstock,Portugal. The Man,6/15/2017,USAT21700438,"3,492",23.1,"1,30,30,18,999",239,"18,020",26,,,,,,,309,,,,,4,"67,77,85,992","2,28,376",,"2,12,07,408",,0
TROLLZ (with Nicki Minaj),TROLLZ (with Nicki Minaj),6ix9ine,06-12-2020,QZA742002508,"3,481",23.1,"16,93,76,113","37,282","55,44,584",2,"48,59,78,356","74,74,199","4,81,594","8,40,39,891","72,80,33,853","30,94,04,629",12,"5,773",,5,"22,966",,"48,75,023","8,123",,"11,92,023",,1
Cover Me Up,Cover Me Up,Morgan Wallen,04-05-2019,QZ22S1800057,"3,499",23.1,"45,72,52,350","58,811","69,92,809",70,"28,43,33,103","12,50,573","1,52,118","2,50,18,657","22,69,42,604","16,27,13,583",14,946,,2,"3,288",7,"18,92,36,636","95,208","58,55,288","8,21,584",,0
Un Verano Sin Ti,Un Verano Sin Ti,Bad Bunny,05-06-2022,QM6MZ2214895,"3,495",23.1,"36,01,49,048","49,439","88,56,237",69,"9,45,95,491","9,55,663","32,000","2,17,71,827","15,41,35,701","3,18,10,445",11,681,,,,2,"1,40,11,928","17,893",,"2,90,721",,0
Mi Morenita,Mi Morenita - Single,Grupo Marca Registrada,5/24/2024,USA2P2432334,"3,494",23.1,"81,04,357",456,"3,67,32,009",68,"91,80,171","67,291",,,,,3,,,1,"33,919",,,,,"23,137",,0
Get A Guitar,Get A Guitar,RIIZE,09-04-2023,KRA302300278,"3,485",23.1,"6,78,87,030","5,721","63,37,730",,"10,68,07,094","12,08,052","32,698","6,16,47,208","43,04,68,374","61,71,59,135",7,"1,289",,3,"2,29,974",10,"49,008",152,,"1,70,700",,0
Heat,Heat (feat. Gunna),Gunna,6/20/2019,USRC11901581,"3,486",23.1,"17,40,90,982","34,958","48,74,126",55,"35,34,42,033","23,06,325","47,184","21,78,301","2,62,78,533","5,88,37,438",31,"1,17,118",1,9,"76,742",12,"22,71,51,889","70,080",,"20,95,650",,1
Birds In The Sky,Birds In The Sky - Single,New Era,12-08-2023,GBAHT2301496,"3,480",23.1,"2,16,64,308","2,953","1,33,58,420",,,,,,,,22,"7,422",,14,"25,01,861",31,,,"75,48,568","1,26,086",,0
I Was Never There,"My Dear Melancholy,",The Weeknd,3/29/2018,USUG11800570,"3,488",23.1,"99,54,63,505","1,39,596","4,45,49,966",78,"28,33,48,553","30,03,483","32,188","2,38,39,570","17,57,52,903","41,07,073",28,283,,20,"2,55,988",,"1,85,64,718","7,254",,"33,64,449",,0
How You Feel (Ft. Leven Kali),How You Feel (Ft. Leven Kali),ANOTR,4/19/2024,USZXT2454115,"3,490",23.1,"95,91,249","4,565","3,50,57,668",,"3,39,265","6,058",,,,,16,"3,654",3,19,"3,45,819",36,"4,695",19,"2,26,016","80,244",,0
Hang Tight Honey,Hang Tight Honey,Lainey Wilson,5/13/2024,QMRSZ2400819,"3,482",23.1,"23,78,738",544,"25,36,543",,"2,61,611","5,555",,,,,12,"11,504",3,2,"2,51,953",37,"20,43,207",278,,"31,828",,0
Bar,Bar,TINI,11-11-2021,USHR12142718,"3,487",23.1,"23,11,55,441","33,491","87,83,650",54,"31,42,18,837","18,31,905",155,"4,004","72,618","5,54,44,647",22,"6,476",297,11,"86,670",11,"1,42,174",205,,"3,13,366",,0
ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý,YOUNGOHM,1/25/2023,FR10S2319442,"3,498",23.1,"1,77,45,591","2,837","2,83,039",47,"17,23,79,457","13,96,751","5,83,900","6,25,24,027","74,94,16,523",,6,32,,,,,,,,"62,461",,1
Case,Ghost,Diljit Dosanjh,9/29/2023,TCAHK2379738,"3,479",23.1,"4,83,53,674","7,078","47,25,307",,"9,76,35,698","7,20,820",,"3,57,879","58,05,614","3,05,08,935",8,369,,,,7,"66,498",64,,"69,548",,0
Apa Fer Milaange,Apa Fer Milaange,Savi Kahlon,12/15/2023,INC622212231,"3,491",23.1,"2,91,71,226","1,511","33,65,447",,"8,49,72,873","11,56,897",,,,"18,22,68,973",1,,,,,8,,,,,,0
Socadona (feat. Mr. Vegas),Socadona (feat. Mr. Vegas),LUDMILLA,11/18/2021,BRWMB2100422,"3,493",23.1,"7,43,38,196","12,229","39,38,315",45,"8,52,04,123","7,92,210","24,17,878","16,76,50,207","2,13,41,65,382","42,84,27,646",18,"2,717",2,33,"1,56,530",9,183,,,"2,03,455",,0
As It Was,As It Was - Single,Hundreds,3/24/2023,DETO32300012,"3,483",23.1,"4,79,006",111,"76,454",30,"23,60,27,939","21,49,041",,,,"72,25,289",1,161,,1,"2,451",,,,,,,0
Humpty Dumpty,60 Nursery Rhyme Songs,Nursery Rhymes,2/18/2014,TCABX1403338,"3,524",23,,342,"1,15,537",1,"2,04,95,79,300","25,25,179",,,,"16,24,44,563",,,,,,,,,,,,0
Sial,fï¿½ï¿½,Mahalini,1/23/2023,FR10S2380774,"3,525",23,"32,43,27,622","13,022","42,28,094",75,"9,70,61,421","5,00,989","4,49,308","13,13,29,737","1,61,43,89,086","4,52,12,529",8,"5,387",,,,,,,,"97,349",,0
Pelele,Pelele,Morad,12/24/2021,QMFMF2131945,"3,508",23,"15,32,62,121","62,043","33,00,200",64,"10,52,29,861","9,23,515","3,60,974","6,12,25,741","77,70,95,126","95,438",11,"4,605",18,2,"26,431",5,"6,486",,,"6,31,030",,0
"Ishq Jaisa Kuch (From ""Fighter"")","Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,12/22/2023,INS182303704,"3,519",23,"2,61,92,177","1,252","14,66,065",,"8,36,75,431","5,68,393",,,,"33,14,89,524",6,799,,,,13,,,,"53,388",,0
CAROLINA,MAï¿½ï¿½ANA SERï¿½ï¿,KAROL G,2/24/2023,USUM72222553,"3,517",23,"8,94,87,508","7,595","36,22,886",66,"6,47,67,621","3,01,091","8,96,706","2,94,72,860","46,62,45,707","13,27,214",5,310,,1,"2,38,980",8,"60,70,386","1,591",,"1,86,834",,0
Krippy Kush,Krippy Kush,Farruko,08-04-2017,USSD11700349,"3,500",23,"26,12,07,310","29,638","86,23,457",56,"1,00,86,64,592","66,13,034","2,36,451","3,64,10,655","25,12,82,695","15,84,79,261",31,"2,716",16,21,"2,21,739",22,"7,11,33,130","53,108",,"15,77,890",,1
Do It,VULTURES 1,Kanye West,02-09-2024,QZ7XS2400007,"3,503",23,"5,85,09,914","11,523","1,16,10,664",,"9,71,307","26,740",,"75,37,500","6,26,92,000",,3,"2,925",,,,,,,,"92,765",,1
Mtg Quero Te Encontrar,Mtg Quero Te Encontrar,DJ LG PROD,2/23/2024,USLZJ2475867,"3,518",23,"9,59,80,260","6,191","3,98,78,495",79,"1,60,13,821","1,77,114",,,,"11,36,738",7,,,29,"1,55,63,020",18,,,,"24,463",,0
Umbrella (with 21 Savage & Young Nudy),HEROES & VILLAINS,Metro Boomin,12-02-2022,USUG12208786,"3,521",23,"13,49,71,918","58,239","56,43,840",64,"83,74,578","77,621","5,871","54,01,097","3,40,56,492",,5,248,10,,,5,"22,07,651",597,,,,1
Cuaderno,Climaxxx,Dalex,05-10-2019,QM9WM1900130,"3,511",23,"41,51,70,963","57,071","1,55,42,644",63,"61,87,39,499","30,18,799","1,06,464","1,08,74,942","7,21,78,937","2,70,37,557",54,"2,681",,6,"35,291",4,"87,70,761","3,632",,"8,82,993",,1
Leja Re,Leja Re,Dhvani Bhanushali,11/24/2018,INS181802759,"3,504",23,"6,46,12,903","7,444","15,76,312",55,"1,03,52,34,284","62,01,188",,"1,418","8,550","9,59,77,596",7,225,,,,2,,,,"1,36,790",,0
Pï¿½ï¿½i,Pï¿½ï¿½i naa - Si,Babasha,06-01-2024,ROGRA2400380,"3,522",23,"8,81,858",75,"1,94,541",53,"74,29,733","1,06,911",,,,,1,,,1,"1,28,640",,,,,"11,206",,0
Paro - Speed Up,Paro (Speed Up),Nej,5/20/2021,FRX282231651,"3,512",23,"9,28,66,817","20,834","65,38,674",53,"5,10,081","8,586","31,96,641","48,34,75,908","6,63,71,49,421",,3,3,,,,,,,,"17,28,511",,1
"Burn, Burn, Burn","Burn, Burn, Burn",Zach Bryan,09-08-2022,USWB12205041,"3,501",23,"26,19,05,370","42,715","58,66,774",75,"2,33,16,855","1,36,558","12,980","24,06,657","1,68,25,671","19,844",14,45,,2,"9,767",16,"2,02,83,919","8,607","42,72,052","3,45,080",,0
Girl,Easy Money Baby,Myke Towers,1/24/2020,QM4TW2040254,"3,523",23,"35,88,85,100","66,574","1,09,19,097",70,"38,67,60,006","21,10,339","2,56,873","4,06,81,006","38,40,81,312","2,03,23,581",35,"8,648",,4,"47,015",8,"1,24,96,355","6,427",,"9,21,816",,1
Saving Up,Saving Up,Dom Dolla,10-06-2023,USQX92305379,"3,516",23,"6,80,53,989","21,585","5,59,05,413",,"14,82,245","22,209","7,007","30,86,204","4,82,64,636","1,223",34,273,145,30,"6,06,241",22,"3,75,025",411,"14,58,301","3,37,132",,0
The Way Life Goes (feat. Oh Wonder),Luv Is Rage 2,Lil Uzi Vert,8/25/2017,USAT21703429,"3,505",23,"97,34,00,151","1,72,881","2,49,51,320",74,"32,02,88,878","27,92,426","1,01,201","1,40,78,490","8,36,69,477","2,65,94,177",2,487,17,,,1,,,,,,1
Headshot (feat. Polo G & Fivio Foreign),Headshot,Lil Tjay,3/19/2021,USSM12101091,"3,502",23,"33,15,06,695","1,16,321","1,54,13,876",65,"2,21,51,531","3,81,423","24,736","1,34,54,627","8,93,24,319","30,32,466",38,"4,038",,7,"2,24,129",3,"95,01,580","5,239",,"3,63,790",,1
"Gali Gali (From ""Kgf Chapter 1"")","Gali Gali (From ""Kgf Chapter 1"")",Neha Kakkar,12/13/2018,INS181802942,"3,515",23,"7,40,27,513","5,648","38,08,001",59,"1,01,42,61,335","46,38,798",,,,"10,50,77,396",1,"1,310",,,,2,,,,"1,68,398",,0
LLYLM,LLYLM,ROSALï¿½,1/27/2023,USSM12300114,"3,513",23,"16,34,00,564","25,380","85,16,973",60,"3,75,06,561","3,68,510","14,073","82,97,832","10,71,27,704","5,86,33,125",75,"70,787",9,36,"4,10,250",33,"7,73,952",,,"13,43,247",,0
Levels,Levels (feat. Sunny Malton),Sidhu Moose Wala,5/25/2022,INU252204222,"3,510",23,"14,69,88,095","16,234","25,50,626",59,"26,29,92,730","43,31,524","2,74,492","48,94,124","6,91,89,680","8,26,816",8,259,,,,3,"99,964",,,"3,66,308",,1
"Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) - Boaz van de Beatz remix","Hey Mama (feat. Nicki Minaj, Bebe Rexha & Afrojack) [Boaz van de Beatz remix]",Boaz van de Beatz,06-05-2015,GB28K1500038,"3,506",23,"2,44,07,534","2,389","4,73,657",29,"1,75,33,79,058","97,02,237",,,,"29,75,04,743",,,,,,,,,,,,0
If You're Happy and You Know It (Clap Your Hands),Circle Time Singalong,CoComelon,06-10-2022,UKP3G2004606,"3,514",23,"4,33,037",120,"15,324",20,"38,69,32,138","8,89,910",,,,"34,561",4,1,,,,,"4,18,696",737,,,,0
La player (Bandolera),La Player (Bandolera),Zion & Lennox,2/23/2018,USWL11700273,"3,520",23,"60,30,09,543","60,339","1,90,82,403",65,"75,28,63,338","18,97,331","25,591","26,55,600","3,31,66,882","10,71,54,352",33,"13,214",19,32,"5,55,813",42,"4,53,28,272","9,771","3,86,024","16,28,610",,0
ART,TYLA,Tyla,03-01-2024,USSM12308662,"3,507",23,"4,68,63,836","3,984","2,59,98,283",,"1,76,33,827","3,66,176",,"1,64,042","25,74,072","13,54,41,443",45,"5,608",16,32,"5,05,601",69,"21,86,273",832,,"2,21,323",,0
Let's Love,Let's Love,Sia,09-11-2020,UKWLH2000001,"3,509",23,"22,25,71,023","44,252","1,11,41,387",57,"6,85,47,283","6,47,482","8,51,690","2,06,13,081","22,13,46,418","1,32,95,182",102,"2,29,947",,73,"8,96,662",22,"15,41,516",605,,"50,19,153",,0
DASH,Fe3O4: BREAK,NMIXX,1/15/2024,US5TA2300179,"3,530",22.9,"4,06,20,097","2,870","81,14,713",11,"5,90,80,794","6,73,001",,"2,11,047","15,53,400","56,44,84,545",7,940,18,6,"1,93,205",15,"82,843",88,,"47,823",,0
On My Mind,On My Mind,Diplo,12/13/2019,USZ4V1900134,"3,526",22.9,"28,78,97,439","1,46,593","2,05,26,230",60,"6,86,49,223","8,53,541","1,75,051","12,65,61,681","85,50,75,576","1,18,42,376",74,"27,171",113,42,"1,65,991",21,"78,37,045","6,109",,"12,61,710",,0
Vampiro,Vampiro,Matuï¿,3/29/2022,BXW922100034,"3,527",22.9,"25,01,12,783","37,790","78,71,652",67,"20,75,70,990","22,06,717","77,011","1,20,26,795","8,14,06,851","2,71,77,813",18,250,,29,"2,51,363",5,,,,"1,24,505",,0
Another Late Night (feat. Lil Yachty),For All The Dogs,Drake,10-06-2023,USUG12306086,"3,535",22.9,"6,13,55,849","24,182","42,16,247",,"1,11,31,343","2,54,050","5,211","13,66,663","1,61,20,565","19,16,69,953",2,276,31,,,,"6,36,999",476,,"1,41,072",,1
Fire - Official UEFA EURO 2024 Song,Fire (Official UEFA EURO 2024 Song),MEDUZA,05-10-2024,GBUM72402016,"3,542",22.9,"1,01,14,922","1,567","1,95,16,267",74,,,,,,,38,"7,781",,39,"15,49,640",93,"3,17,663",14,"33,779","97,199",,0
Delincuente,Delincuente,Tokischa,8/19/2022,RDRAY2200003,"3,541",22.9,"19,00,95,480","35,863","1,21,00,534",68,"8,37,72,680","7,53,857","3,58,618","8,82,95,849","80,15,57,207","65,010",17,256,,4,"69,817",,"22,03,900","2,615",,"12,58,357",,1
Never Lose Me (feat. SZA & Cardi B),"Fine Ho, Stay",Flo Milli,3/15/2024,USRC12400579,"3,531",22.9,"3,03,01,728","2,993","1,29,90,773",,,,,,,,34,"13,668",,19,"4,46,756",57,"52,12,163","1,607","7,07,782","1,65,367",,1
Kernkraft 400 (A Better Day),Kernkraft 400 (A Better Day),Topic,6/17/2022,DECE72201091,"3,543",22.9,"17,19,20,896","41,774","3,41,42,715",65,"1,41,15,131","1,42,485","5,176","29,27,375","5,19,87,916","18,23,310",39,"1,24,290",,43,"15,31,127",20,"7,63,822",224,,"18,61,356",,0
SORRY NOT SORRY,CALL ME IF YOU GET LOST: The Estate Sale,"Tyler, The Creator",3/31/2023,USQX92301939,"3,536",22.9,"9,83,01,770","40,539","46,31,003",63,"3,01,36,123","7,92,334","4,786","24,86,105","1,98,17,648","7,95,416",4,276,,5,"47,877",,"4,96,043","1,072",,"1,20,860",,1
Bad (feat. Vassy) - Radio Edit,The Edge (Mixed By G-Wizard & DJ Nino Brown),Showtek,01-01-2014,GB28K1400007,"3,538",22.9,"60,23,59,731","1,09,606","2,30,41,032",62,"1,09,99,99,155","52,50,942","22,696","78,42,088","9,55,70,279","27,37,66,835",38,"9,467",,35,"2,65,633",7,"6,16,53,955","7,967","75,73,210","87,03,879",,0
CYBERTRUCK,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,10/13/2023,QMFME2364186,"3,540",22.9,"9,90,22,909","18,212","79,36,625",,"1,45,94,444","2,27,707",,,,,8,378,,,,4,"23,75,239",611,"11,96,116","2,40,886",,1
"Sher Khul Gaye (From ""Fighter"")","Sher Khul Gaye (From ""Fighter"")",Vishal-Shekhar,12/15/2023,INS182303636,"3,528",22.9,"2,22,77,518","1,494","22,72,746",,"8,68,35,991","7,26,713",,,,"1,41,84,86,214",9,572,,,,11,,,,"53,230",,0
Fever,Future Nostalgia,Dua Lipa,3/27/2020,GBAHT2000834,"3,532",22.9,"38,11,66,294","50,838","94,75,236",57,"16,84,85,708","16,88,852","15,00,542","5,15,27,633","72,89,98,950","6,77,08,098",102,"80,249",,72,"15,29,225",17,"2,40,75,812","4,290",,"21,85,831",,0
"Tiago PZK: Bzrp Music Sessions, Vol. 48","Tiago PZK: Bzrp Music Sessions, Vol. 48",Bizarrap,12/29/2021,UYB282101025,"3,539",22.9,"45,44,67,751","75,230","1,18,93,074",67,"3,51,55,712","2,50,394",2,"2,248","13,072",,18,"21,338",,8,"55,493",9,"16,653",94,,"8,26,070",,0
Hands up!,Hands up!,6arelyhuman,12-10-2022,QZTB32254226,"3,533",22.9,"14,45,55,119","30,542","51,16,146",5,"2,65,66,933","4,80,339","1,60,061","6,03,50,179","38,19,21,701",,,,,,,,"5,70,698","2,783","66,90,026","5,44,824",,1
