Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Soundcloud Streams,Shazam Counts,TIDAL Popularity,Explicit Track
Baby you,Baby you,ýýýýýý,1/18/2023,JPCO02230140,"3,273",24,"3,03,61,093","6,140","13,21,340",52,"3,03,46,457","4,99,318","15,30,302","15,91,93,521","1,94,99,63,259","7,00,02,169",16,114,,,,4,,,,"2,50,538",,0
CUAL ES ESA,FERXXOCALIPSIS,Feid,12-01-2023,USUM72318210,"3,285",24,"8,41,31,713","9,659","77,89,551",71,"4,69,45,484","2,39,851",229,"1,550","28,600","7,60,10,877",5,"3,267",,6,"35,88,081",1,"1,45,825",101,,"1,54,493",,1
Armed And Dangerous,Goodbye & Good Riddance,Juice WRLD,5/23/2018,USUG11802039,"3,283",24,"78,68,39,663","1,28,506","2,07,44,090",70,"36,91,78,947","28,99,865","1,15,366","1,54,47,249","10,87,71,380","5,21,86,744",37,17,28,14,"35,425",8,"3,61,74,479","82,435",,"7,63,212",,1
Salimo de Noche,Salimo de Noche,Tiago PZK,10/21/2021,AR3N42100003,"3,275",24,"31,55,81,950","56,373","81,32,909",59,"20,09,61,304","19,09,013","2,03,539","8,83,73,861","76,73,13,472","28,02,84,318",15,"5,092",,15,"62,708",7,"21,095",,,"3,46,879",,1
"Eladio Carrion: Bzrp Music Sessions, Vol. 40","Eladio Carrion: Bzrp Music Sessions, Vol. 40",Bizarrap,06-09-2021,UYB282101016,"3,276",24,"31,26,22,847","59,149","1,01,35,558",66,"27,52,92,905","31,16,842","71,000","1,88,07,302","19,06,56,582","16,35,575",19,403,,7,"1,21,113",6,"28,22,483","1,630",,"5,15,254",,1
Love,AFROBOY,Kouz1,1/13/2023,DGA082226042,"3,269",24,"4,10,59,494","17,144","25,65,553",40,"7,66,32,734","5,73,257","8,21,200","6,22,89,548","1,16,32,10,746",,4,"2,210",,1,"6,562",,,,,"5,10,815",,0
La Gozadera,Full Circle: The Live Anthology,Gente De Zona,11/20/2011,USSD11500071,"3,286",24,"61,31,20,952","70,633","2,52,38,321",69,"1,74,01,43,685","48,62,755","1,34,831","2,79,97,984","26,63,81,642","26,81,87,596",105,"19,259",59,48,"1,57,490",46,"10,51,81,711","88,056",,"45,95,901",,0
Skechers,Skechers,DripReport,01-12-2020,QZFYX2083092,"3,280",24,"40,26,00,493","78,831","99,48,573",60,"3,16,85,487","8,43,639","19,21,469","30,87,54,044","2,81,24,34,668","70,368",41,,,8,"62,612",2,"61,14,736","1,22,858",,"33,31,270",,1
I Feel Like I'm Drowning,I Feel Like I'm Drowning,Two Feet,11-10-2017,USUM71709320,"3,270",24,"50,39,15,156","1,16,054","2,69,74,343",72,"39,51,72,100","45,50,650","1,72,195","5,77,81,993","48,59,83,172","1,90,24,819",10,"28,138",73,10,"1,06,988",10,"13,32,26,702","41,440",,"50,40,350",,0
Ando Enfocado,Ando Enfocado,Jaziel Avilez,11/18/2022,QZTGS2200203,"3,278",24,"19,19,18,763","17,921","80,23,886",67,"16,83,30,437","7,68,931","51,300","48,13,141","6,37,85,723",,6,6,3,2,"50,523",6,"2,54,00,655","3,262",,"4,04,205",,0
